Order ID,Customer ID,Customer Name,Segment,Order Date,Ship Date,Ship Mode,Region,State,Category,Product,Quantity,Unit Price,Discount (%),Sales,Profit,Payment Mode,Sales Person
1,CUST1053,Customer_82,Consumer,18-04-2022,21-04-2022,Express,North,Punjab,Furniture,Chair,1,1652,10,1486.8,226.35,Cash,SalesPerson_22
2,CUST1104,Customer_464,Consumer,18-05-2023,20-05-2023,Standard,North,Punjab,Electronics,Headphones,2,127,10,228.6,61.63,Debit Card,SalesPerson_9
3,CUST1820,Customer_248,Consumer,13-02-2022,16-02-2022,Same Day,West,Rajasthan,Furniture,Sofa,8,250,10,1800,275.47,Cash,SalesPerson_37
4,CUST1429,Customer_192,Home Office,08-10-2023,09-10-2023,Standard,West,Rajasthan,Office Supplies,Binder,9,2714,15,20762.1,4280.79,Debit Card,SalesPerson_47
5,CUST1396,Customer_294,Corporate,19-06-2022,23-06-2022,Standard,East,West Bengal,Furniture,Sofa,9,1702,,15318,4088.89,Debit Card,SalesPerson_38
6,CUST1506,Customer_494,Home Office,30-06-2022,07-07-2022,Same Day,East,West Bengal,Furniture,Desk,7,2279,,15953,3854.89,Debit Card,SalesPerson_35
7,CUST1197,Customer_11,Corporate,17-09-2024,19-09-2024,Express,South,Kerala,Furniture,Table,8,280,0,2240,202.54,UPI,SalesPerson_28
8,CUST1814,Customer_275,Corporate,10-05-2024,11-05-2024,Standard,North,Haryana,Electronics,Tablet,2,439,15,746.3,238.25,Cash,SalesPerson_45
9,CUST1654,Customer_326,Consumer,07-04-2024,08-04-2024,Express,East,Odisha,Furniture,Chair,9,1471,15,11253.15,1738.73,Credit Card,SalesPerson_46
10,CUST1671,Customer_396,Corporate,22-10-2022,25-10-2022,Express,South,Kerala,Electronics,Laptop,9,1686,10,13656.6,1281.56,UPI,SalesPerson_9
11,CUST1021,Customer_179,Corporate,31-12-2024,03-01-2025,Same Day,North,Haryana,Electronics,Headphones,7,354,5,2354.1,438.86,Net Banking,SalesPerson_20
12,CUST1107,Customer_280,Home Office,28-05-2024,04-06-2024,Express,North,Delhi,Office Supplies,Printer Paper,9,2208,5,18878.4,2889.74,Debit Card,SalesPerson_37
13,CUST1512,Customer_42,Consumer,28-11-2023,29-11-2023,Same Day,East,Assam,Electronics,Mobile,6,1183,15,6033.3,379.54,Debit Card,SalesPerson_49
14,CUST1550,Customer_69,Home Office,05-02-2022,07-02-2022,Standard,East,Assam,Electronics,Laptop,10,1398,,13980,2129.76,Net Banking,SalesPerson_32
15,CUST1947,Customer_65,Home Office,26-03-2024,02-04-2024,Same Day,North,Punjab,Office Supplies,Binder,6,1721,5,9809.7,2963.53,Credit Card,SalesPerson_39
16,CUST1221,Customer_395,Corporate,09-10-2024,12-10-2024,Express,North,Haryana,Electronics,Tablet,8,1582,15,10757.6,1556.11,Debit Card,SalesPerson_12
17,CUST1943,Customer_152,Consumer,23-02-2024,01-03-2024,Express,North,Punjab,Furniture,Sofa,3,2389,15,6091.95,978.09,Cash,SalesPerson_39
18,CUST1986,Customer_362,Corporate,22-10-2023,23-10-2023,Standard,West,Maharashtra,Office Supplies,Binder,5,540,15,2295,509.63,Net Banking,SalesPerson_18
19,CUST1049,Customer_94,Consumer,18-06-2024,23-06-2024,Standard,East,West Bengal,Office Supplies,Binder,9,2455,10,19885.5,3005.76,Net Banking,SalesPerson_43
20,CUST1378,Customer_457,Consumer,13-10-2024,19-10-2024,Same Day,South,Tamil Nadu,Office Supplies,Pen,8,2319,5,17624.4,2604.05,Credit Card,SalesPerson_30
21,CUST1064,Customer_447,Corporate,29-10-2024,03-11-2024,Express,East,Assam,Office Supplies,Pen,6,1683,5,9593.1,2459.64,Debit Card,SalesPerson_27
22,CUST1169,Customer_392,Home Office,03-01-2024,07-01-2024,Same Day,North,Haryana,Electronics,Headphones,3,911,0,2733,357.57,Debit Card,SalesPerson_20
23,CUST1533,Customer_482,Consumer,20-10-2024,27-10-2024,Same Day,West,Maharashtra,Furniture,Chair,2,1913,10,3443.4,1006.2,Net Banking,SalesPerson_27
24,CUST1199,Customer_476,Consumer,07-07-2024,08-07-2024,Standard,North,Haryana,Furniture,Table,9,1560,5,13338,2640.47,Credit Card,SalesPerson_16
25,CUST1964,Customer_127,Home Office,03-03-2023,04-03-2023,Express,West,Maharashtra,Electronics,Headphones,6,2340,0,14040,878.24,UPI,SalesPerson_12
26,CUST1804,Customer_79,Corporate,15-09-2023,16-09-2023,Standard,East,Assam,Office Supplies,Printer Paper,4,2211,0,8844,2428.55,Net Banking,SalesPerson_15
27,CUST1293,Customer_72,Corporate,11-11-2024,17-11-2024,Same Day,West,Gujarat,Office Supplies,Notebook,7,415,15,2469.25,766.78,Credit Card,SalesPerson_9
28,CUST1218,Customer_200,Consumer,07-09-2022,11-09-2022,Standard,East,Assam,Office Supplies,Pen,8,2233,10,16077.6,2196.63,Cash,SalesPerson_49
29,CUST1486,Customer_72,Consumer,14-07-2022,19-07-2022,Standard,East,Assam,Electronics,Mobile,7,836,15,4974.2,436.95,Credit Card,SalesPerson_22
30,CUST1155,Customer_59,Corporate,08-03-2022,09-03-2022,Same Day,South,Karnataka,Furniture,Table,4,2808,15,9547.2,648.14,Credit Card,SalesPerson_9
31,CUST1009,Customer_150,Corporate,26-03-2022,29-03-2022,Same Day,West,Maharashtra,Electronics,Mobile,7,1498,5,9961.7,765.27,Net Banking,SalesPerson_23
32,CUST1570,Customer_406,Consumer,14-04-2023,21-04-2023,Same Day,North,Delhi,Office Supplies,Pen,2,1122,10,2019.6,243.04,Cash,SalesPerson_17
