Order ID,Customer ID,Customer Name,Segment,Order Date,Ship Date,Ship Mode,Region,State,Category,Product,Quantity,Unit Price,Discount (%),Sales,Profit,Payment Mode,Sales Person,Year,Month,Quarter,DayOfWeek,Profit Margin
1,CUST1053,Customer_82,Consumer,2022-04-18,21-04-2022,Express,North,Punjab,Furniture,Chair,1,1652,10.0,1486.8,226.35,Cash,SalesPerson_22,2022,4,2,Monday,15.223970944309928
2,CUST1104,Customer_464,Consumer,2023-05-18,20-05-2023,Standard,North,Punjab,Electronics,Headphones,2,127,10.0,228.6,61.63,Debit Card,SalesPerson_9,2023,5,2,Thursday,26.959755030621174
3,CUST1820,Customer_248,Consumer,2022-02-13,16-02-2022,Same Day,West,Rajasthan,Furniture,Sofa,8,250,10.0,1800.0,275.47,Cash,SalesPerson_37,2022,2,1,Sunday,15.303888888888888
4,CUST1429,Customer_192,Home Office,2023-10-08,09-10-2023,Standard,West,Rajasthan,Office Supplies,Binder,9,2714,15.0,20762.1,4280.79,Debit Card,SalesPerson_47,2023,10,4,Sunday,20.618290057364142
5,CUST1396,Customer_294,Corporate,2022-06-19,23-06-2022,Standard,East,West Bengal,Furniture,Sofa,9,1702,15.0,15318.0,4088.89,Debit Card,SalesPerson_38,2022,6,2,Sunday,26.6933672803238
6,CUST1506,Customer_494,Home Office,2022-06-30,07-07-2022,Same Day,East,West Bengal,Furniture,Desk,7,2279,15.0,15953.0,3854.89,Debit Card,SalesPerson_35,2022,6,2,Thursday,24.16404438036733
7,CUST1197,Customer_11,Corporate,2024-09-17,19-09-2024,Express,South,Kerala,Furniture,Table,8,280,0.0,2240.0,202.54,UPI,SalesPerson_28,2024,9,3,Tuesday,9.041964285714284
8,CUST1814,Customer_275,Corporate,2024-05-10,11-05-2024,Standard,North,Haryana,Electronics,Tablet,2,439,15.0,746.3,238.25,Cash,SalesPerson_45,2024,5,2,Friday,31.92415918531422
9,CUST1654,Customer_326,Consumer,2024-04-07,08-04-2024,Express,East,Odisha,Furniture,Chair,9,1471,15.0,11253.15,1738.73,Credit Card,SalesPerson_46,2024,4,2,Sunday,15.451051483362438
10,CUST1671,Customer_396,Corporate,2022-10-22,25-10-2022,Express,South,Kerala,Electronics,Laptop,9,1686,10.0,13656.6,1281.56,UPI,SalesPerson_9,2022,10,4,Saturday,9.384180542741237
